original,gentle,playful,bold,id,scenario
Once more,Once more... and I hope that's okay to say,Once more... breaking news: you're gorgeous,Once more... and I want you,flirt_1008,transportation
Again and again,Again and again... and I mean that sincerely,Again and again... breaking news: you're gorgeous,Again and again... so what's it gonna be?,flirt_1009,travel situation
I'm falling,I'm falling... I'm drawn to your warmth,I'm falling... spoiler alert: I like you,I'm falling... now give me your number,flirt_1010,social gathering
You make me crazy,You make me crazy... you're genuinely captivating,You make me crazy... did it work? Am I charming yet?,You make me crazy... I know what I want,flirt_1011,night scene
I'm lost,I'm lost... I hope I'm not being too forward,I'm lost... true story: I'm smitten,I'm lost... let's skip the games,flirt_1012,social event
I'm yours,I'm yours... and I mean that sincerely,I'm yours... fun fact: you're perfect,I'm yours... now give me your number,flirt_1013,travel situation
Take me,Take me... you have this amazing energy,Take me... true story: I'm smitten,Take me... life's too short for maybe,flirt_1014,professional context
I need you,I need you... I'm drawn to your warmth,I need you... did it work? Am I charming yet?,I need you... let's skip the games,flirt_1015,group setting
You complete me,You complete me... I hope I'm not being too forward,"You complete me... and yes, I'm totally hitting on you",You complete me... your place or mine?,flirt_1016,special occasion
I'm addicted,I'm addicted... you have this amazing energy,I'm addicted... fair warning: I'm about to be adorable,I'm addicted... now give me your number,flirt_1017,cultural venue
I'm hooked,I'm hooked... and I hope that's okay to say,"I'm hooked... but first, are you single? Asking for me",I'm hooked... your place or mine?,flirt_1018,relaxed atmosphere
I surrender,I surrender... you seem like someone truly special,I surrender... spoiler alert: I like you,I surrender... so what's it gonna be?,flirt_1019,quiet moment
Know many people here?,Know many people here?... I'd love to get to know you better,Know many people here?... did it work? Am I charming yet?,Know many people here?... and I want you,flirt_1020,social gathering
Great atmosphere,Great atmosphere... you're genuinely captivating,Great atmosphere... spoiler alert: I like you,Great atmosphere... life's too short for maybe,flirt_1021,social gathering
Nice crowd,Nice crowd... and I mean that sincerely,"Nice crowd... smooth, right? I practiced that",Nice crowd... your place or mine?,flirt_1022,social gathering
Good music,Good music... you're genuinely captivating,Good music... fun fact: you're perfect,Good music... so what's it gonna be?,flirt_1023,social gathering
Interesting people,Interesting people... you have this amazing energy,Interesting people... fun fact: you're perfect,Interesting people... let's skip the games,flirt_1024,social gathering
Enjoying yourself?,Enjoying yourself?... you have this amazing energy,"Enjoying yourself?... smooth, right? I practiced that",Enjoying yourself?... your place or mine?,flirt_1025,social gathering
Come here often?,Come here often?... I'd love to get to know you better,"Come here often?... and yes, I'm totally hitting on you",Come here often?... I'm not leaving without your digits,flirt_1026,social gathering
How are things?,How are things?... I'd love to get to know you better,How are things?... did it work? Am I charming yet?,How are things?... your place or mine?,flirt_1027,casual conversation
Nice to meet you,Nice to meet you... you're genuinely captivating,Nice to meet you... true story: I'm smitten,Nice to meet you... life's too short for maybe,flirt_1028,casual conversation
Good to see you,Good to see you... I'm drawn to your warmth,Good to see you... breaking news: you're gorgeous,Good to see you... what do you say we continue this privately?,flirt_1029,casual conversation
How have you been?,How have you been?... I hope I'm not being too forward,"How have you been?... and yes, I'm totally hitting on you",How have you been?... your place or mine?,flirt_1030,casual conversation
What's going on?,What's going on?... you seem like someone truly special,"What's going on?... and yes, I'm totally hitting on you",What's going on?... now give me your number,flirt_1031,casual conversation
Busy today,Busy today... there's something magical about you,"Busy today... but first, are you single? Asking for me",Busy today... your place or mine?,flirt_1032,public place
Nice weather,Nice weather... and I mean that sincerely,"Nice weather... smooth, right? I practiced that",Nice weather... now give me your number,flirt_1033,public place
Crowded here,Crowded here... I'd love to get to know you better,Crowded here... did it work? Am I charming yet?,Crowded here... life's too short for maybe,flirt_1034,public place
Great location,Great location... I'm drawn to your warmth,"Great location... and yes, I'm totally hitting on you",Great location... I know what I want,flirt_1035,public place
Looks delicious,Looks delicious... I hope I'm not being too forward,Looks delicious... fair warning: I'm about to be adorable,Looks delicious... I'm not leaving without your digits,flirt_1036,dining experience
Great choice,Great choice... you have this amazing energy,Great choice... spoiler alert: I like you,Great choice... I know what I want,flirt_1037,dining experience
Been here before?,Been here before?... there's something magical about you,"Been here before?... and yes, I'm totally hitting on you",Been here before?... what do you say we continue this privately?,flirt_1038,dining experience
Trying something new?,Trying something new?... you seem like someone truly special,"Trying something new?... but first, are you single? Asking for me",Trying something new?... your place or mine?,flirt_1039,dining experience
Smells amazing,Smells amazing... I'd love to get to know you better,"Smells amazing... and yes, I'm totally hitting on you",Smells amazing... what do you say we continue this privately?,flirt_1040,dining experience
Room for dessert?,Room for dessert?... and I hope that's okay to say,"Room for dessert?... but first, are you single? Asking for me",Room for dessert?... and I want you,flirt_1041,dining experience
That's interesting,That's interesting... your mind is fascinating,That's interesting... are you always this captivating?,That's interesting... cool story. Tell me more over dinner,flirt_1042,celebration
